"CELL"	"23"	"7"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"23"	"6"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"23"	"5"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"23"	"4"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"23"	"3"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"23"	"2"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"23"	"1"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"23"	"0"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"23"	"-1"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"23"	"-2"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"23"	"-3"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"23"	"-4"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"23"	"-5"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"23"	"-6"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"23"	"-7"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"23"	"-8"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"23"	"-9"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"23"	"-10"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"23"	"-11"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"23"	"-12"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"22"	"8"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"22"	"7"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"22"	"6"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"22"	"5"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"22"	"4"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"22"	"3"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"22"	"2"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"22"	"1"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"22"	"0"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"22"	"-1"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"22"	"-2"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"22"	"-3"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"22"	"-4"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"22"	"-5"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"22"	"-6"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"22"	"-7"		"0"	"0"	"0"	"0"	"0"	
"CELL"	"22"	"-8"		"0"	"0"	"0"	"0"	"0"	
